line,time,time_to_next_bus
M60,120,4.133333333333333
M60,180,3.1333333333333333
M60,240,2.1333333333333333
M60,300,1.1333333333333333
M60,360,0.13333333333333333
M60,420,0.65
M60,480,15.8
M60,540,14.8
M60,600,13.8
M60,660,12.8
M60,720,11.8
M60,780,10.8
M60,840,9.8
M60,900,8.8
M60,960,7.8
M60,1020,6.8
M60,1080,5.8
M60,1140,4.8
M60,1200,3.8
M60,1260,2.8
M60,1320,1.8
M60,1380,0.8
M60,0,1.2
M60,60,0.2
M60,120,30.516666666666666
M60,180,29.516666666666666
M60,240,28.516666666666666
M60,300,27.516666666666666
M60,360,26.516666666666666
M60,420,25.516666666666666
M60,480,24.516666666666666
M60,540,23.516666666666666
M60,600,22.516666666666666
M60,660,21.516666666666666
M60,720,20.516666666666666
M60,780,19.516666666666666
M60,840,18.516666666666666
M60,900,17.516666666666666
M60,960,16.516666666666666
M60,1020,15.516666666666666
M60,1080,14.516666666666666
M60,1140,13.516666666666666
M60,1200,12.516666666666666
M60,1260,11.516666666666666
M60,1320,10.516666666666666
M60,1380,9.516666666666666
M60,1440,8.516666666666666
M60,1500,7.5166666666666675
M60,1560,6.5166666666666675
M60,1620,5.5166666666666675
M60,1680,4.516666666666667
M60,1740,3.5166666666666666
M60,1800,2.5166666666666666
M60,1860,1.5166666666666666
M60,1920,0.5166666666666666
M60,240,1.1833333333333331
M60,300,0.18333333333333326
M60,360,5.866666666666666
M60,420,4.866666666666666
M60,480,3.8666666666666663
M60,540,2.8666666666666667
M60,600,1.8666666666666667
M60,660,0.8666666666666667
M60,60,12.083333333333336
M60,120,11.083333333333336
M60,180,10.083333333333334
M60,240,9.083333333333334
M60,300,8.083333333333334
M60,360,7.083333333333332
M60,420,6.083333333333332
M60,480,5.083333333333333
M60,540,4.083333333333333
M60,600,3.083333333333333
M60,660,2.083333333333333
M60,720,1.0833333333333333
M60,780,0.08333333333333333
M60,720,0.6333333333333333
M60,780,0.4666666666666667
M60,240,6.35
M60,300,5.35
M60,360,4.35
M60,420,3.35
M60,480,2.35
M60,540,1.35
M60,600,0.35
M60,660,1.85
M60,720,0.85
M60,420,4.733333333333333
M60,480,3.733333333333333
M60,540,2.7333333333333334
M60,600,1.7333333333333334
M60,660,0.7333333333333333
M60,360,11.833333333333336
M60,420,10.833333333333336
M60,480,9.833333333333334
M60,540,8.833333333333334
M60,600,7.833333333333332
M60,660,6.833333333333332
M60,720,5.833333333333332
M60,780,4.833333333333333
M60,840,3.8333333333333335
M60,900,2.833333333333333
M60,960,1.8333333333333333
M60,1020,0.8333333333333334
M60,600,6.05
M60,660,5.05
M60,720,4.05
M60,780,3.05
M60,840,2.05
M60,900,1.05
M60,960,0.05
