LGA_Arrival,Departure,travel_time_seconds
2018-12-14 22:19:09.261,2018-12-14 21:45:43.980,2005
2018-12-14 22:33:08.528,2018-12-14 21:52:16.323,2452
2018-12-14 22:53:32.087,2018-12-14 22:12:18.601,2473
2018-12-14 23:11:52.191,2018-12-14 22:26:36.237,2716
2018-12-14 23:58:06.793,2018-12-14 22:53:32.087,3875
2018-12-15 00:06:39.654,2018-12-14 23:22:22.398,2657
2018-12-10 19:39:36.699,2018-12-10 19:05:26.330,2050
2018-12-10 20:03:19.957,2018-12-10 19:05:26.330,3474
2018-12-10 20:27:01.400,2018-12-10 19:29:32.039,3449
2018-12-10 20:48:06.875,2018-12-10 20:06:01.682,2525
2018-12-10 21:02:48.692,2018-12-10 20:09:52.579,3176
2018-12-11 19:34:01.608,2018-12-11 19:03:22.603,1839
2018-12-11 19:50:15.042,2018-12-11 19:03:22.603,2812
2018-12-11 20:15:47.103,2018-12-11 19:25:20.197,3027
2018-12-11 20:39:22.508,2018-12-11 19:48:19.738,3063
2018-12-11 20:59:51.241,2018-12-11 20:07:19.545,3152
