LGA_Arrival,Departure,travel_time_seconds
2018-12-14 23:00:46.670,2018-12-14 22:18:08.762,2558
2018-12-14 22:56:54.111,2018-12-14 22:09:20.099,2854
2018-12-14 22:49:14.749,2018-12-14 21:52:42.351,3392
2018-12-14 22:56:30.927,2018-12-14 22:07:27.160,2944
2018-12-14 23:06:59.325,2018-12-14 22:25:26.148,2493
2018-12-14 23:02:21.244,2018-12-14 22:28:30.227,2031
2018-12-14 23:13:02.253,2018-12-14 22:37:54.050,2108
2018-12-14 23:34:52.974,2018-12-14 23:01:30.890,2002
2018-12-14 23:22:27.194,2018-12-14 22:52:43.226,1784
2018-12-14 23:40:49.285,2018-12-14 23:07:24.544,2005
2018-12-15 00:12:37.800,2018-12-14 23:35:43.228,2215
2018-12-15 00:12:37.800,2018-12-14 23:33:18.274,2360
2018-12-10 19:59:01.796,2018-12-10 19:21:19.271,2263
2018-12-10 19:45:16.501,2018-12-10 19:10:35.085,2081
2018-12-10 20:09:16.102,2018-12-10 19:32:55.268,2181
2018-12-10 20:21:39.973,2018-12-10 19:42:09.247,2371
2018-12-10 20:33:03.880,2018-12-10 19:52:26.596,2437
2018-12-10 20:40:34.132,2018-12-10 20:02:34.603,2280
2018-12-10 20:44:57.362,2018-12-10 20:07:16.245,2261
2018-12-10 21:02:30.062,2018-12-10 20:21:39.973,2450
