Arrival Time,Wait
2018-12-14 23:43:07.565,0
2018-12-14 23:36:39.776,0 days 00:06:27.789000
2018-12-14 23:24:47.011,0 days 00:11:52.765000
2018-12-14 23:17:44.539,0 days 00:07:02.472000
2018-12-14 23:12:14.796,0 days 00:05:29.743000
2018-12-14 23:06:59.325,0 days 00:05:15.471000
2018-12-14 23:03:07.108,0 days 00:03:52.217000
2018-12-14 23:00:22.614,0 days 00:02:44.494000
2018-12-14 22:59:16.210,0 days 00:01:06.404000
2018-12-14 22:53:08.056,0 days 00:06:08.154000
2018-12-14 22:45:29.245,0 days 00:07:38.811000
2018-12-14 22:21:41.201,0 days 00:23:48.044000
2018-12-14 22:21:41.201,0 days 00:00:00
2018-12-14 22:20:29.540,0 days 00:01:11.661000
2018-12-14 21:47:58.728,0 days 00:32:30.812000
2018-12-10 21:04:12.323,0
2018-12-10 21:03:46.532,0 days 00:00:25.791000
2018-12-10 20:44:57.362,0 days 00:18:49.170000
2018-12-10 20:40:58.851,0 days 00:03:58.511000
2018-12-10 20:35:47.549,0 days 00:05:11.302000
2018-12-10 20:23:55.387,0 days 00:11:52.162000
2018-12-10 20:23:08.745,0 days 00:00:46.642000
2018-12-10 20:10:03.273,0 days 00:13:05.472000
2018-12-10 19:59:01.796,0 days 00:11:01.477000
2018-12-10 19:46:23.602,0 days 00:12:38.194000
2018-12-10 19:32:55.268,0 days 00:13:28.334000
2018-12-10 19:29:48.273,0 days 00:03:06.995000
2018-12-10 19:19:26.959,0 days 00:10:21.314000
2018-12-10 19:06:35.699,0 days 00:12:51.260000
2018-12-11 21:00:53.048,0
2018-12-11 20:54:06.263,0 days 00:06:46.785000
2018-12-11 20:38:00.190,0 days 00:16:06.073000
2018-12-11 20:31:48.968,0 days 00:06:11.222000
2018-12-11 20:20:05.359,0 days 00:11:43.609000
2018-12-11 20:08:36.654,0 days 00:11:28.705000
2018-12-11 20:03:06.804,0 days 00:05:29.850000
2018-12-11 19:45:16.446,0 days 00:17:50.358000
2018-12-11 19:35:39.147,0 days 00:09:37.299000
2018-12-11 19:19:36.080,0 days 00:16:03.067000
2018-12-11 19:11:49.252,0 days 00:07:46.828000
2018-12-11 19:06:28.833,0 days 00:05:20.419000
