Arrival Time,Wait
2018-12-10 20:59:21.508,0
2018-12-10 20:54:49.887,0 days 00:04:31.621000
2018-12-10 20:52:35.668,0 days 00:02:14.219000
2018-12-10 20:36:29.152,0 days 00:16:06.516000
2018-12-10 20:32:46.664,0 days 00:03:42.488000
2018-12-10 20:29:00.574,0 days 00:03:46.090000
2018-12-10 20:14:07.615,0 days 00:14:52.959000
2018-12-10 20:01:59.598,0 days 00:12:08.017000
2018-12-10 19:53:38.901,0 days 00:08:20.697000
2018-12-10 19:46:55.673,0 days 00:06:43.228000
2018-12-10 19:46:04.760,0 days 00:00:50.913000
2018-12-10 19:36:12.104,0 days 00:09:52.656000
2018-12-10 19:30:05.925,0 days 00:06:06.179000
2018-12-10 19:19:29.839,0 days 00:10:36.086000
2018-12-10 19:06:31.277,0 days 00:12:58.562000
2018-12-11 21:00:08.223,0
2018-12-11 20:52:52.554,0 days 00:07:15.669000
2018-12-11 20:43:22.242,0 days 00:09:30.312000
2018-12-11 20:38:20.046,0 days 00:05:02.196000
2018-12-11 20:36:48.741,0 days 00:01:31.305000
2018-12-11 20:35:12.380,0 days 00:01:36.361000
2018-12-11 20:17:16.657,0 days 00:17:55.723000
2018-12-11 20:14:18.539,0 days 00:02:58.118000
2018-12-11 19:56:42.886,0 days 00:17:35.653000
2018-12-11 19:51:04.593,0 days 00:05:38.293000
2018-12-11 19:42:13.176,0 days 00:08:51.417000
2018-12-11 19:33:39.926,0 days 00:08:33.250000
2018-12-11 19:22:56.567,0 days 00:10:43.359000
2018-12-11 19:17:11.233,0 days 00:05:45.334000
2018-12-11 19:10:00.101,0 days 00:07:11.132000
2018-12-11 19:09:39.124,0 days 00:00:20.977000
2018-12-15 00:02:12.507,0
2018-12-14 23:57:15.038,0 days 00:04:57.469000
2018-12-14 23:44:00.036,0 days 00:13:15.002000
2018-12-14 23:39:07.113,0 days 00:04:52.923000
2018-12-14 23:33:02.983,0 days 00:06:04.130000
2018-12-14 23:14:13.721,0 days 00:18:49.262000
2018-12-14 23:10:58.994,0 days 00:03:14.727000
2018-12-14 22:48:05.463,0 days 00:22:53.531000
2018-12-14 22:39:18.126,0 days 00:08:47.337000
2018-12-14 22:32:31.362,0 days 00:06:46.764000
2018-12-14 22:28:24.459,0 days 00:04:06.903000
2018-12-14 22:24:56.977,0 days 00:03:27.482000
2018-12-14 22:17:59.727,0 days 00:06:57.250000
2018-12-14 22:11:52.242,0 days 00:06:07.485000
2018-12-14 21:55:37.341,0 days 00:16:14.901000
2018-12-14 21:49:31.048,0 days 00:06:06.293000
