line,time,time_to_next_bus
Q70,300,1.0666666666666669
Q70,360,0.06666666666666668
Q70,420,11.816666666666665
Q70,480,10.816666666666665
Q70,540,9.816666666666666
Q70,600,8.816666666666666
Q70,660,7.816666666666666
Q70,720,6.816666666666666
Q70,780,5.816666666666666
Q70,840,4.816666666666666
Q70,900,3.8166666666666655
Q70,960,2.8166666666666664
Q70,1020,1.8166666666666669
Q70,1080,0.8166666666666667
Q70,240,18.9
Q70,300,17.9
Q70,360,16.9
Q70,420,15.9
Q70,480,14.9
Q70,540,13.9
Q70,600,12.9
Q70,660,11.9
Q70,720,10.9
Q70,780,9.9
Q70,840,8.9
Q70,900,7.899999999999999
Q70,960,6.9
Q70,1020,5.9
Q70,1080,4.9
Q70,1140,3.9
Q70,1200,2.9
Q70,1260,1.9
Q70,1320,0.9
Q70,240,2.95
Q70,300,1.95
Q70,360,0.95
Q70,420,9.25
Q70,480,8.25
Q70,540,7.25
Q70,600,6.25
Q70,660,5.25
Q70,720,4.25
Q70,780,3.25
Q70,840,2.25
Q70,900,1.25
Q70,960,0.25
Q70,180,13.116666666666667
Q70,240,12.116666666666667
Q70,300,11.116666666666667
Q70,360,10.116666666666667
Q70,420,9.116666666666667
Q70,480,8.116666666666667
Q70,540,7.116666666666666
Q70,600,6.116666666666666
Q70,660,5.116666666666666
Q70,720,4.116666666666666
Q70,780,3.1166666666666667
Q70,840,2.1166666666666667
Q70,900,1.1166666666666667
Q70,960,0.11666666666666667
Q70,240,10.883333333333333
Q70,300,9.883333333333333
Q70,360,8.883333333333333
Q70,420,7.883333333333333
Q70,480,6.883333333333333
Q70,540,5.883333333333333
Q70,600,4.883333333333333
Q70,660,3.883333333333333
Q70,720,2.8833333333333333
Q70,780,1.8833333333333333
Q70,840,0.8833333333333333
Q70,60,8.883333333333333
Q70,120,7.883333333333333
Q70,180,6.883333333333333
Q70,240,5.883333333333333
Q70,300,4.883333333333333
Q70,360,3.883333333333333
Q70,420,2.8833333333333333
Q70,480,1.8833333333333333
Q70,540,0.8833333333333333
Q70,420,3.6
Q70,480,2.6
Q70,540,1.6
Q70,600,0.6
Q70,660,1.9833333333333332
Q70,720,0.9833333333333332
Q70,120,15.933333333333335
Q70,180,14.933333333333335
Q70,240,13.933333333333335
Q70,300,12.933333333333335
Q70,360,11.933333333333335
Q70,420,10.933333333333335
Q70,480,9.933333333333334
Q70,540,8.933333333333334
Q70,600,7.933333333333334
Q70,660,6.933333333333334
Q70,720,5.933333333333334
Q70,780,4.933333333333334
Q70,840,3.933333333333333
Q70,900,2.933333333333333
Q70,960,1.9333333333333331
Q70,1020,0.9333333333333332
Q70,180,14.6
Q70,240,13.6
Q70,300,12.6
Q70,360,11.6
Q70,420,10.6
Q70,480,9.6
Q70,540,8.6
Q70,600,7.6
Q70,660,6.6
Q70,720,5.6
Q70,780,4.6
Q70,840,3.6
Q70,900,2.6
Q70,960,1.6
Q70,1020,0.6
Q70,360,2.85
Q70,420,1.85
Q70,480,0.85
Q70,540,1.7166666666666666
Q70,600,0.7166666666666667
Q70,360,1.1833333333333331
Q70,420,0.18333333333333326
